"","GST","DBH","AOT","AFS","DWC","LOG","x_gk","y_gk","SG4","SG5"
"1",241.5,30.1667,67,67,5.9735,2.2433,4395150,5523911,0,1
"2",167.6,23.1667,67,67,0,7.7698,4395151,5524011,1,2
"3",179.7,33.8333,49,49,10.8171,0,4395351,5524010,0,1
"4",106,34.5,67,67,3.124,14.4399,4395151,5524111,0,1
"5",206.3,39.8333,67,67,1.8966,14.5909,4395351,5524110,0,1
"6",123.8,30.5,67,67,0,9.4516,4395152,5524211,0,1
"7",364.5,49.1667,67,67,9.8545,5.0054,4395352,5524210,0,0
"8",234.7,27.5,67,67,11.4333,0.7497,4395152,5524311,0,3
"9",366.6,64.1667,201,67,0,13.081,4395352,5524310,0,4
"10",124.8,35.5,81,81,1.485,20.6585,4394953,5524412,0,4
"11",117.1,0,67,67,0.4906,4.7021,4395153,5524411,0,6
"12",132.5,39.1667,67,67,0,11.419,4395353,5524410,0,0
"13",386.5,32.1667,81,81,59.0057,19.3083,4394953,5524512,0,4
"14",276.7,49.1667,201,81,87.0971,4.2916,4395353,5524510,0,3
"15",108.2,31.1667,81,81,13.2369,13.9728,4394754,5524614,0,3
"16",121.3,81.5,201,81,0,19.6976,4394954,5524612,0,1
"17",152.2,33.1667,81,81,38.0544,5.6016,4394554,5524715,0,2
"18",268,33.5,70,70,51.3584,4.9691,4394754,5524714,0,3
"19",74.4,21.5,70,70,1.4176,11.0366,4394955,5524712,0,2
"20",100,24,69,69,34.6106,32.1864,4394555,5524815,0,3
"21",429.8,54.5,199,69,28.9509,1.9309,4394755,5524814,0,1
"22",141.9,25.1667,69,69,127.1187,15.5018,4394556,5524915,0,2
"23",311.8,35.8333,67,67,2.8276,11.5687,4393356,5525022,0,0
"24",139.5,38.5,67,67,36.0013,10.8666,4393356,5525122,0,0
"25",304.9,37.5,50,50,9.1136,7.9177,4393357,5525222,0,0
"26",73.1,31,95,95,17.0819,4.8267,4395072,5533217,1,2
"27",322,41.5,95,95,0,6.0815,4395073,5533317,0,1
"28",224.1,44.8333,95,95,4.1269,3.6664,4395273,5533316,0,1
"29",278.8,42.1667,95,95,5.9853,1.9587,4395073,5533417,0,2
"30",260.2,45.5,80,80,0,14.9603,4397275,5533605,0,4
"31",173,32.5,70,70,1.8004,13.0092,4397075,5533706,0,1
"32",237.6,43.8333,80,80,6.4223,11.1252,4397275,5533705,0,3
"33",366.6,32.5,70,70,5.1647,6.0753,4397076,5533806,0,2
"34",196.2,31.5,80,80,2.449,11.811,4397276,5533805,0,1
"35",225.1,46.8333,70,70,3.2923,6.1081,4396676,5533908,0,1
"36",257.3,46.8333,70,70,3.4109,14.2013,4396876,5533907,0,1
"37",357.6,47.8333,70,70,10.2183,4.8578,4397076,5533906,0,0
"38",158,31.1667,70,70,0.9206,17.1249,4397276,5533905,0,0
"39",164,33.1667,64,64,11.6682,5.9804,4397477,5533904,0,0
"40",335.2,41.5,70,70,0.2036,19.2033,4396677,5534008,0,0
"41",284.4,39.1667,70,70,8.8043,15.8061,4396877,5534007,0,1
"42",230.4,40.8333,70,70,0,5.1908,4397077,5534006,0,1
"43",69.6,29.5,70,70,10.6591,15.0195,4397277,5534005,0,3
